search_id,user_id,requested_at,service_provider,product_name,pickup_address,pickup_lat,pickup_lng,destination_address,destination_lat,destination_lng,currency,price_min,price_max,eta_seconds,surge_multiplier,service_level,distance_meters,duration_seconds,price_min_discounted,price_max_discounted,data_source,region,pickup_place_types,destination_place_types,session_id
a4d34435-87cb-45f7-b302-3bce01a9aec6,51b12346-6fe0-4ef2-9063-5426ea44fc8a,2024-07-26 06:56:00.047-04,LYFT,Lyft Priority Pickup,"144 Washington Ave, Needham",42.28516069,-71.22301031,Logan Airport (BOS),42.3653985,-71.0107832,USD,49.73,49.73,480.0,1.0,Standard,32006,2580,,,LyftMobileAppApiRandomAccount,Boston,{premise},"{establishment,point_of_interest,airport}",add284bc-6c78-4800-935c-5b77461bf887
a4d34435-87cb-45f7-b302-3bce01a9aec6,51b12346-6fe0-4ef2-9063-5426ea44fc8a,2024-07-26 06:56:00.047-04,LYFT,Lyft Standard,"144 Washington Ave, Needham",42.28516069,-71.22301031,Logan Airport (BOS),42.3653985,-71.0107832,USD,47.73,47.73,540.0,1.0,Standard,32006,2640,,,LyftMobileAppApiRandomAccount,Boston,{premise},"{establishment,point_of_interest,airport}",add284bc-6c78-4800-935c-5b77461bf887
a4d34435-87cb-45f7-b302-3bce01a9aec6,51b12346-6fe0-4ef2-9063-5426ea44fc8a,2024-07-26 06:56:00.047-04,LYFT,Lyft Wait & Save,"144 Washington Ave, Needham",42.28516069,-71.22301031,Logan Airport (BOS),42.3653985,-71.0107832,USD,41.83,41.83,300.0,1.0,Standard,32006,2760,,,LyftMobileAppApiRandomAccount,Boston,{premise},"{establishment,point_of_interest,airport}",add284bc-6c78-4800-935c-5b77461bf887
a4d34435-87cb-45f7-b302-3bce01a9aec6,51b12346-6fe0-4ef2-9063-5426ea44fc8a,2024-07-26 06:56:00.047-04,LYFT,Lyft Black,"144 Washington Ave, Needham",42.28516069,-71.22301031,Logan Airport (BOS),42.3653985,-71.0107832,USD,100.42,100.42,660.0,1.0,Luxury,32006,2760,,,LyftMobileAppApiRandomAccount,Boston,{premise},"{establishment,point_of_interest,airport}",add284bc-6c78-4800-935c-5b77461bf887
a4d34435-87cb-45f7-b302-3bce01a9aec6,51b12346-6fe0-4ef2-9063-5426ea44fc8a,2024-07-26 06:56:00.047-04,LYFT,Lyft XL,"144 Washington Ave, Needham",42.28516069,-71.22301031,Logan Airport (BOS),42.3653985,-71.0107832,USD,74.31,74.31,780.0,1.0,XL,32006,2880,,,LyftMobileAppApiRandomAccount,Boston,{premise},"{establishment,point_of_interest,airport}",add284bc-6c78-4800-935c-5b77461bf887
a4d34435-87cb-45f7-b302-3bce01a9aec6,51b12346-6fe0-4ef2-9063-5426ea44fc8a,2024-07-26 06:56:00.047-04,LYFT,Lyft Black SUV,"144 Washington Ave, Needham",42.28516069,-71.22301031,Logan Airport (BOS),42.3653985,-71.0107832,USD,111.51,111.51,660.0,1.0,Luxury,32006,2760,,,LyftMobileAppApiRandomAccount,Boston,{premise},"{establishment,point_of_interest,airport}",add284bc-6c78-4800-935c-5b77461bf887
a4d34435-87cb-45f7-b302-3bce01a9aec6,51b12346-6fe0-4ef2-9063-5426ea44fc8a,2024-07-26 06:56:00.047-04,LYFT,Lyft Extra Comfort,"144 Washington Ave, Needham",42.28516069,-71.22301031,Logan Airport (BOS),42.3653985,-71.0107832,USD,51.89,51.89,600.0,1.0,Luxury,32006,2700,,,LyftMobileAppApiRandomAccount,Boston,{premise},"{establishment,point_of_interest,airport}",add284bc-6c78-4800-935c-5b77461bf887
a4d34435-87cb-45f7-b302-3bce01a9aec6,51b12346-6fe0-4ef2-9063-5426ea44fc8a,2024-07-26 06:56:02.774-04,UBER,UberXXL,"144 Washington Ave, Needham",42.28516069,-71.22301031,Logan Airport (BOS),42.3653985,-71.0107832,USD,104.22,104.22,960.0,1.0,XL,32006,1720,,,UberMobileAppApi,Boston,{premise},"{establishment,point_of_interest,airport}",add284bc-6c78-4800-935c-5b77461bf887
a4d34435-87cb-45f7-b302-3bce01a9aec6,51b12346-6fe0-4ef2-9063-5426ea44fc8a,2024-07-26 06:56:02.774-04,UBER,Uber Green,"144 Washington Ave, Needham",42.28516069,-71.22301031,Logan Airport (BOS),42.3653985,-71.0107832,USD,52.68,52.68,780.0,1.0,Standard,32006,1683,,,UberMobileAppApi,Boston,{premise},"{establishment,point_of_interest,airport}",add284bc-6c78-4800-935c-5b77461bf887
a4d34435-87cb-45f7-b302-3bce01a9aec6,51b12346-6fe0-4ef2-9063-5426ea44fc8a,2024-07-26 06:56:02.774-04,UBER,UberX Priority,"144 Washington Ave, Needham",42.28516069,-71.22301031,Logan Airport (BOS),42.3653985,-71.0107832,USD,57.11,57.11,360.0,1.0,Standard,32006,1666,,,UberMobileAppApi,Boston,{premise},"{establishment,point_of_interest,airport}",add284bc-6c78-4800-935c-5b77461bf887
